Running in TSCNN mode
Writing logs to logs/CNN_bn_bs=32_lr=0.001_momentum=0.9_run_61
Number of params layer 1: 288
Number of params layer 2: 9216
Number of params layer 3: 18432
Number of params layer 4: 36864
Number of params layer 5: 15860736
Number of params: 15936170
Number of params layer 1: 288
Number of params layer 2: 9216
Number of params layer 3: 18432
Number of params layer 4: 36864
Number of params layer 5: 15860736
Number of params: 15936170
model: lmc, epoch: [0], step: [309/1581], batch loss: 2.04067, batch accuracy: 21.88, data load time: 0.00035, step time: 0.03256
model: mc, epoch: [0], step: [309/1581], batch loss: 2.23833, batch accuracy: 6.25, data load time: 0.00035, step time: 0.03256
model: lmc, epoch: [0], step: [319/1581], batch loss: 1.95666, batch accuracy: 28.12, data load time: 0.00033, step time: 0.03902
model: mc, epoch: [0], step: [319/1581], batch loss: 2.13782, batch accuracy: 9.38, data load time: 0.00033, step time: 0.03902
model: lmc, epoch: [0], step: [329/1581], batch loss: 1.98349, batch accuracy: 21.88, data load time: 0.00559, step time: 0.02034
model: mc, epoch: [0], step: [329/1581], batch loss: 2.11622, batch accuracy: 9.38, data load time: 0.00559, step time: 0.02034
model: lmc, epoch: [0], step: [339/1581], batch loss: 1.89647, batch accuracy: 21.88, data load time: 0.00454, step time: 0.01871
model: mc, epoch: [0], step: [339/1581], batch loss: 1.99806, batch accuracy: 15.62, data load time: 0.00454, step time: 0.01871
model: lmc, epoch: [0], step: [349/1581], batch loss: 1.99778, batch accuracy: 28.12, data load time: 0.00029, step time: 0.01815
model: mc, epoch: [0], step: [349/1581], batch loss: 2.24557, batch accuracy: 6.25, data load time: 0.00029, step time: 0.01815
model: lmc, epoch: [0], step: [359/1581], batch loss: 1.86663, batch accuracy: 31.25, data load time: 0.00043, step time: 0.01805
model: mc, epoch: [0], step: [359/1581], batch loss: 2.03709, batch accuracy: 15.62, data load time: 0.00043, step time: 0.01805
model: lmc, epoch: [0], step: [369/1581], batch loss: 1.97213, batch accuracy: 21.88, data load time: 0.00034, step time: 0.01816
model: mc, epoch: [0], step: [369/1581], batch loss: 2.24662, batch accuracy: 6.25, data load time: 0.00034, step time: 0.01816
